2
w/o
running on cuda0
Files already downloaded and verified
Files already downloaded and verified
path=./exp_result_2048_2/cifar10/main_task_acc.txt
Epoch 27% 	 train_loss:0.10 train_acc:0.98 test_acc:0.63
Epoch 28% 	 train_loss:0.02 train_acc:0.99 test_acc:0.63
Epoch 29% 	 train_loss:0.06 train_acc:0.99 test_acc:0.68
time used = 228.7720651626587
Epoch 0% 	 train_loss:3.17 train_acc:0.30 test_acc:0.24
Epoch 1% 	 train_loss:2.17 train_acc:0.40 test_acc:0.35
Epoch 2% 	 train_loss:1.84 train_acc:0.49 test_acc:0.39
Epoch 3% 	 train_loss:1.63 train_acc:0.52 test_acc:0.50
Epoch 4% 	 train_loss:1.34 train_acc:0.59 test_acc:0.54
Epoch 5% 	 train_loss:1.16 train_acc:0.65 test_acc:0.57
Epoch 6% 	 train_loss:0.89 train_acc:0.70 test_acc:0.55
Epoch 7% 	 train_loss:0.85 train_acc:0.71 test_acc:0.59
Epoch 8% 	 train_loss:0.80 train_acc:0.74 test_acc:0.56
Epoch 9% 	 train_loss:0.67 train_acc:0.78 test_acc:0.55
Epoch 10% 	 train_loss:0.53 train_acc:0.83 test_acc:0.55
Epoch 11% 	 train_loss:0.40 train_acc:0.87 test_acc:0.62
Epoch 12% 	 train_loss:0.36 train_acc:0.88 test_acc:0.61
Epoch 13% 	 train_loss:0.24 train_acc:0.92 test_acc:0.54
Epoch 14% 	 train_loss:0.27 train_acc:0.91 test_acc:0.58
Epoch 15% 	 train_loss:0.20 train_acc:0.94 test_acc:0.58
Epoch 16% 	 train_loss:0.15 train_acc:0.95 test_acc:0.65
Epoch 17% 	 train_loss:0.11 train_acc:0.96 test_acc:0.64
Epoch 18% 	 train_loss:0.14 train_acc:0.96 test_acc:0.63
Epoch 19% 	 train_loss:0.20 train_acc:0.95 test_acc:0.61
Epoch 20% 	 train_loss:0.24 train_acc:0.94 test_acc:0.58
Epoch 21% 	 train_loss:0.44 train_acc:0.94 test_acc:0.48
Epoch 22% 	 train_loss:0.25 train_acc:0.94 test_acc:0.60
Epoch 23% 	 train_loss:0.28 train_acc:0.94 test_acc:0.54
Epoch 24% 	 train_loss:0.32 train_acc:0.94 test_acc:0.63
Epoch 25% 	 train_loss:0.13 train_acc:0.97 test_acc:0.62
Epoch 26% 	 train_loss:0.10 train_acc:0.96 test_acc:0.63
Epoch 27% 	 train_loss:0.10 train_acc:0.98 test_acc:0.63
Epoch 28% 	 train_loss:0.02 train_acc:0.99 test_acc:0.63
Epoch 29% 	 train_loss:0.06 train_acc:0.99 test_acc:0.68
time used = 225.8712923526764
